id;object_id;first_name;last_name;birthplace;affiliation_name
1;p_2;Ben;Elowitz;UNDEFINED;Blue Nile
2;p_3;Kevin;Flaherty;UNDEFINED;Wetpaint
3;p_4;Raju;Vegesna;UNDEFINED;Zoho
4;p_5;Ian;Wenig;UNDEFINED;Zoho
5;p_6;Kevin;Rose;Redding, CA;i/o Ventures
6;p_7;Jay;Adelson;Detroit, MI;Digg
7;p_8;Owen;Byrne;UNDEFINED;Digg
8;p_9;Ron;Gorodetzky;UNDEFINED;Digg
9;p_10;Mark;Zuckerberg;UNDEFINED;Facebook
10;p_11;Dustin;Moskovitz;Gainesville, FL;Facebook
11;p_12;Owen;Van Natta;UNDEFINED;Asana
12;p_13;Matt;Cohler;UNDEFINED;LinkedIn
13;p_14;Chris;Hughes;Hickery, North Carolina;General Catalyst Partners
14;p_16;Alex;Welch;UNDEFINED;C7 Group
15;p_17;Darren;Crystal;UNDEFINED;Photobucket
16;p_18;Michael;Clark;UNDEFINED;Photobucket (Old)
17;p_19;Greg;Wimmer;UNDEFINED;Photobucket
18;p_20;Peter;Foster;UNDEFINED;Photobucket
19;p_21;Heather;Dana;UNDEFINED;Photobucket
20;p_22;Peter;Pham;UNDEFINED;Photobucket, Inc.
21;p_23;Scott;Penberthy;UNDEFINED;Photobucket
22;p_24;Alice;Lankester;Surrey, England;Apple
23;p_25;Alex;Musil;UNDEFINED;Photobucket
24;p_26;Peter;Thiel;UNDEFINED;Confinity
25;p_29;Gus;Tai;UNDEFINED;BillShrink
26;p_30;David;Sacks;UNDEFINED;GumGum
27;p_31;Alan;Braverman;UNDEFINED;Geni
28;p_32;Ken;Howery;UNDEFINED;The Founder's Fund
29;p_33;Luke;Nosek;UNDEFINED;The Founder's Fund
30;p_34;Sean;Parker;UNDEFINED;Asana
31;p_35;George;Zachary;UNDEFINED;Millennial Media
32;p_37;Greg;Waldorf;UNDEFINED;Charles River Ventures
33;p_39;Jason;Rubin;USA;Monkey Gods
34;p_40;Andy;Gavin;UNDEFINED;Flektor
35;p_41;Jason;Kay;UNDEFINED;Flektor
36;p_42;Evan;Williams;UNDEFINED;Google
37;p_43;Garrett;Camp;UNDEFINED;CitiVox
38;p_44;Geoff;Smith;UNDEFINED;StumbleUpon
39;p_45;Justin;LeFrance;UNDEFINED;StumbleUpon
40;p_46;Jack;Dorsey;St. Louis, MO;Twitter, Square
41;p_48;Jason;Goldman;UNDEFINED;Twitter
42;p_49;Biz;Stone;UNDEFINED;Twitter
43;p_51;Efrat;Moshkoviz;UNDEFINED;Gizmoz
44;p_52;Amihay;Zer Kavod;UNDEFINED;Gizmoz
45;p_53;Eldad;Ben Tora;Israel;Spark Networks
46;p_56;Eli;Wurtman;UNDEFINED;Gizmoz
47;p_57;Arun;Gupta;UNDEFINED;Gizmoz
48;p_58;Barry;Brott;UNDEFINED;Gizmoz
49;p_59;Dennis;Mudd;UNDEFINED;Slacker
50;p_60;Jim;Cady;UNDEFINED;Slacker
51;p_61;Jonathan;Sasse;UNDEFINED;Slacker
52;p_62;Trip;Adler;UNDEFINED;cacaoTV
53;p_63;Jared;Friedman;UNDEFINED;Scribd
54;p_64;Tikhon;Bernstam;UNDEFINED;Scribd
55;p_65;Bill;Nguyen;UNDEFINED;Lala
56;p_66;John;Kuch;UNDEFINED;Lala
57;p_67;Sky;Dayton;UNDEFINED;Helio
58;p_68;Wonhee;Sull;UNDEFINED;Helio
59;p_69;Todd;Tapin;UNDEFINED;Helio
60;p_70;Kieran;Hannon;UNDEFINED;Helio
61;p_71;Ali;Zanjani;UNDEFINED;Helio
62;p_72;Jay;Lee;UNDEFINED;Helio
63;p_73;Michael;Grossi;UNDEFINED;Helio
64;p_74;Meg;Whitman;UNDEFINED;Zipcar
65;p_75;Pierre;Omidyar;UNDEFINED;Omidyar Network
66;p_76;John;Donahoe;UNDEFINED;JustGive
67;p_77;William C.;Cobb;UNDEFINED;eBay
68;p_78;Rajiv;Dutta;UNDEFINED;eBay
69;p_79;Henry;Gomez;UNDEFINED;eBay
70;p_80;Niklas;Zennstr?m;UNDEFINED;Skype
71;p_81;Lorie;Norrington;UNDEFINED;eBay
72;p_82;Micheal;Jacobson;UNDEFINED;eBay
73;p_83;Bob;Swan;UNDEFINED;eBay
74;p_84;Andrew;Weinreich;New York, New York;drop.io
75;p_85;Jeremy;LaTrasse;UNDEFINED;Odeo
76;p_86;Quentin;Gallivan;UNDEFINED;Postini
77;p_87;Scott;Petry;UNDEFINED;Postini
78;p_89;Don;Beck;UNDEFINED;Postini
79;p_90;Jocelyn;Ding;UNDEFINED;Google
80;p_92;Janus;Friis;Copenhagen, Denmark;Joost
81;p_93;Dirk-Willem;van Gulik;UNDEFINED;Joost
82;p_94;Ben;Golub;UNDEFINED;Familybuilder
83;p_96;Mallku;Caballero;UNDEFINED;CommProve
